"   ","INSTANCE_NUMBER","SNAP_ID","SNAP_TIME","EVENT_NAME","WAITS","WAIT_TIME","AVGWAIT","PCT_DB_TIME","WAIT_CLASS"
"208","1","1733","8/26/2013 2:45:50 AM","db file scattered read","13263","178","13","15.6","User I/O"
"209","1","1733","8/26/2013 2:45:50 AM","db file sequential read","32012","451","14","39.5","User I/O"
"210","1","1733","8/26/2013 2:45:50 AM","direct path read","151","7","46","0.6","User I/O"
"211","1","1734","8/26/2013 3:15:50 AM","db file scattered read","13263","178","13","15.6","User I/O"
"212","1","1734","8/26/2013 3:15:50 AM","db file sequential read","32012","451","14","39.5","User I/O"
"213","1","1734","8/26/2013 3:15:50 AM","direct path read","151","7","46","0.6","User I/O"
"214","1","1735","8/26/2013 3:45:50 AM","db file scattered read","13263","178","13","15.6","User I/O"
"215","1","1735","8/26/2013 3:45:50 AM","db file sequential read","32012","451","14","39.5","User I/O"
"216","1","1735","8/26/2013 3:45:50 AM","direct path read","151","7","46","0.6","User I/O"
"217","1","1736","8/26/2013 4:15:50 AM","db file scattered read","13263","178","13","15.6","User I/O"
"218","1","1736","8/26/2013 4:15:50 AM","db file sequential read","32012","451","14","39.5","User I/O"
"219","1","1736","8/26/2013 4:15:50 AM","direct path read","151","7","46","0.6","User I/O"
"220","1","1737","8/26/2013 4:45:50 AM","db file scattered read","13263","178","13","15.6","User I/O"
"221","1","1737","8/26/2013 4:45:50 AM","db file sequential read","32012","451","14","39.5","User I/O"
"222","1","1737","8/26/2013 4:45:50 AM","direct path read","151","7","46","0.6","User I/O"
"223","1","1738","8/26/2013 5:15:50 AM","db file scattered read","13263","178","13","15.6","User I/O"
"224","1","1738","8/26/2013 5:15:50 AM","db file sequential read","32012","451","14","39.5","User I/O"
"225","1","1738","8/26/2013 5:15:50 AM","direct path read","151","7","46","0.6","User I/O"
"226","1","1739","8/26/2013 5:45:50 AM","db file scattered read","13263","178","13","15.6","User I/O"
"227","1","1739","8/26/2013 5:45:50 AM","db file sequential read","32012","451","14","39.5","User I/O"
"228","1","1739","8/26/2013 5:45:50 AM","direct path read","151","7","46","0.6","User I/O"
"229","1","1740","8/26/2013 6:15:50 AM","db file scattered read","13263","178","13","15.6","User I/O"
"230","1","1740","8/26/2013 6:15:50 AM","db file sequential read","32012","451","14","39.5","User I/O"
"231","1","1740","8/26/2013 6:15:50 AM","direct path read","151","7","46","0.6","User I/O"
"232","1","1741","8/26/2013 6:45:50 AM","db file scattered read","13263","178","13","15.6","User I/O"
"233","1","1741","8/26/2013 6:45:50 AM","db file sequential read","32012","451","14","39.5","User I/O"
"234","1","1741","8/26/2013 6:45:50 AM","direct path read","151","7","46","0.6","User I/O"
"235","1","1742","8/26/2013 7:15:50 AM","db file scattered read","13263","178","13","15.6","User I/O"
"236","1","1742","8/26/2013 7:15:50 AM","db file sequential read","32012","451","14","39.5","User I/O"
"237","1","1742","8/26/2013 7:15:50 AM","direct path read","151","7","46","0.6","User I/O"
"238","1","1743","8/26/2013 7:45:50 AM","db file scattered read","13263","178","13","15.6","User I/O"
"239","1","1743","8/26/2013 7:45:50 AM","db file sequential read","32012","451","14","39.5","User I/O"
"240","1","1743","8/26/2013 7:45:50 AM","direct path read","151","7","46","0.6","User I/O"
"241","1","1744","8/26/2013 8:15:50 AM","db file scattered read","13263","178","13","15.6","User I/O"
